contact_id,from_node,to_node,start_time_sec,end_time_sec,capacity_kbps,range_km,node_type_from,node_type_to,operator_from,operator_to
C000038,beta-bognor_regis,beta-beta-3,3600.00,4560.00,10686.53,2358.81,GS,SAT,beta,beta
C000063,gamma-landstuhl,beta-beta-3,3630.00,4620.00,13297.63,2202.14,GS,SAT,gamma,beta
C000017,alpha-merritt_island,alpha-alpha-1,3660.00,4230.00,27611.55,1343.31,GS,SAT,alpha,alpha
C000016,alpha-boca_chica,gamma-gamma-3,3690.00,4230.00,12870.98,2227.74,GS,SAT,alpha,gamma
C000005,alpha-alpha-1,gamma-gamma-3,3750.00,4080.00,4254.81,1436.30,SAT,SAT,alpha,gamma
C000039,beta-clarksburg,alpha-alpha-1,3810.00,4410.00,28538.87,1287.67,GS,SAT,beta,alpha
C000055,gamma-wahiawa,beta-beta-1,3840.00,4800.00,12208.71,2267.48,GS,SAT,gamma,beta
C000042,beta-clarksburg,gamma-gamma-1,3930.00,4650.00,21866.53,1688.01,GS,SAT,beta,gamma
C000002,alpha-alpha-1,gamma-gamma-1,4050.00,4350.00,3188.03,1702.99,SAT,SAT,alpha,gamma
C000020,alpha-merritt_island,gamma-gamma-1,4110.00,4830.00,23155.90,1610.65,GS,SAT,alpha,gamma
C000014,alpha-boca_chica,gamma-gamma-1,4200.00,4800.00,14888.92,2106.67,GS,SAT,alpha,gamma
C000026,alpha-london,alpha-alpha-1,4710.00,5280.00,29335.90,1239.85,GS,SAT,alpha,alpha
C000033,beta-bognor_regis,alpha-alpha-1,4710.00,5280.00,29470.22,1231.79,GS,SAT,beta,alpha
C000058,gamma-landstuhl,alpha-alpha-1,4800.00,5370.00,29301.79,1241.89,GS,SAT,gamma,alpha
C000023,alpha-redmond,beta-beta-1,4860.00,5070.00,0.00,3537.97,GS,SAT,alpha,beta
C000054,beta-melbourne,alpha-alpha-3,4890.00,5190.00,17504.52,1949.73,GS,SAT,beta,alpha
C000071,gamma-auckland,beta-beta-2,4980.00,5400.00,8177.11,2509.37,GS,SAT,gamma,beta
C000006,alpha-alpha-3,beta-beta-2,5190.00,5400.00,2141.34,1964.67,SAT,SAT,alpha,beta
C000069,gamma-auckland,alpha-alpha-3,5250.00,5400.00,20657.21,1760.57,GS,SAT,gamma,alpha
